,Keel/Language/Язык,Teie sugu,Teie vanus (aastad),30 sekindit ajaintervall,1 minut ajaintervall,1 minut ja 30 sekindit ajaintervall,2 minutit ajaintervall,Sex,Age (years),30 seconds time interval,1 minute time interval,1 minute and 30 seconds time interval,2 minutes time interval,Ваш пол,Ваш возраст (полных лет),Интервал в 30 секунд,Интервал в 1 минуту,Интервал в 1 минуту и 30 секунд,Интервал в 2 минуты
,Русский,,,,,,,,,,,,,Мужчина,22,35,59,86,127
,Русский,,,,,,,,,,,,,Мужчина,23,34,48,62,98
,English,,,,,,,Male,19,36,49,66,103,,,,,,
,Русский,,,,,,,,,,,,,Мужчина,23,35,65,97,137
,Русский,,,,,,,,,,,,,Мужчина,20,28,58,78,122
,Русский,,,,,,,,,,,,,Женщина,49,10,22,50,60
,Русский,,,,,,,,,,,,,Женщина,45,16,33,43,91
,Русский,,,,,,,,,,,,,Женщина,22,32,58,87,118
,Русский,,,,,,,,,,,,,Женщина,20,31,57,91,124
,Eesti,Naine,20,29,60,92,109,,,,,,,,,,,,
,Русский,,,,,,,,,,,,,Женщина,45,4,12,21,33
,Русский,,,,,,,,,,,,,Женщина,15,34,47,58,154
,Русский,,,,,,,,,,,,,Женщина,24,47,53,82,99
,Русский,,,,,,,,,,,,,Мужчина,19,28,57,83,110
,Русский,,,,,,,,,,,,,Мужчина,16,33,60,104,126
,Русский,,,,,,,,,,,,,Женщина,15,30,35,60,85
,Русский,,,,,,,,,,,,,Женщина,44,25,62,79,138
,Русский,,,,,,,,,,,,,Мужчина,21,39,59,81,120
,Eesti,Naine,20,27,63,95,141,,,,,,,,,,,,
,Русский,,,,,,,,,,,,,Женщина,45,36,70,92,117
,Русский,,,,,,,,,,,,,Женщина,21,37,72,81,114
,Eesti,Mees,21,29,58,87,116,,,,,,,,,,,,
,Русский,,,,,,,,,,,,,Женщина,44,25,59,95,85
,Русский,,,,,,,,,,,,,Женщина,44,33,74,87,107
,Русский,,,,,,,,,,,,,Женщина,21,20,47,70,120
,Русский,,,,,,,,,,,,,Мужчина,23,31,58,110,128
,Русский,,,,,,,,,,,,,Женщина,23,48,62,66,94
,Русский,,,,,,,,,,,,,Мужчина,28,45,82,100,128
,Русский,,,,,,,,,,,,,Женщина,20,29,60,97,120
,Русский,,,,,,,,,,,,,Мужчина,48,40,62,100,140
,Русский,,,,,,,,,,,,,Женщина,83,19,20,20,28
,Русский,,,,,,,,,,,,,Женщина,43,31,56,87,90
,Eesti,Naine,55,28,64,78,104,,,,,,,,,,,,
,Русский,,,,,,,,,,,,,Женщина,42,34,65,78,112
,Русский,,,,,,,,,,,,,Женщина,17,30,63,93,123
,Русский,,,,,,,,,,,,,Женщина,20,28,66,92,134
,Русский,,,,,,,,,,,,,Женщина,60,18,30,41,61
,Русский,,,,,,,,,,,,,Женщина,45,25,53,85,120
,Русский,,,,,,,,,,,,,Мужчина,16,30,60,90,123
,Русский,,,,,,,,,,,,,Женщина,33,31,59,93,122
,Русский,,,,,,,,,,,,,Женщина,64,30,60,90,120
,Русский,,,,,,,,,,,,,Мужчина,21,29,59,79,125
,Русский,,,,,,,,,,,,,Женщина,47,15,58,98,118
,Русский,,,,,,,,,,,,,Мужчина,27,17,66,88,148
,Русский,,,,,,,,,,,,,Мужчина,50,30,63,92,126
,Русский,,,,,,,,,,,,,Женщина,22,31,67,106,115
,Eesti,Naine,21,38,62,63,87,,,,,,,,,,,,
,Русский,,,,,,,,,,,,,Женщина,45,30,77,100,130
,Русский,,,,,,,,,,,,,Мужчина,43,27,56,79,102
,Русский,,,,,,,,,,,,,Женщина,16,36,56,87,117
,English,,,,,,,Female,22,41,61,90,118,,,,,,
,Русский,,,,,,,,,,,,,Женщина,25,31,56,63,91
,Русский,,,,,,,,,,,,,Женщина,47,23,50,106,144
,Русский,,,,,,,,,,,,,Женщина,17,27,48,72,99
,Русский,,,,,,,,,,,,,Женщина,14,30,60,90,120
,Eesti,Naine,17,29,68,78,120,,,,,,,,,,,,
,Русский,,,,,,,,,,,,,Женщина,18,25,40,60,107
,Русский,,,,,,,,,,,,,Женщина,21,24,32,66,82
,Русский,,,,,,,,,,,,,Женщина,24,35,48,86,118
,Русский,,,,,,,,,,,,,Женщина,40,15,32,49,83
,Eesti,Mees,17,20,47,78,97,,,,,,,,,,,,
24.01.2021 10:51:32,Русский,,,,,,,,,,,,,Женщина,31,36,76,110,124
24.01.2021 13:50:38,Русский,,,,,,,,,,,,,Мужчина,26,32,79,104,138
24.01.2021 19:32:46,Русский,,,,,,,,,,,,,Мужчина,27,37,84,67,101
25.01.2021 9:30:36,Русский,,,,,,,,,,,,,Мужчина,27,31,64,97,130
25.01.2021 12:00:56,Русский,,,,,,,,,,,,,Мужчина,23,29,59,88,119
